antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'办公'}),frozenset({'云闪付'}),0.42782152230971127,0.14285714285714285,0.06111736032995876,0.14285714285714288,0.33391761612620513,1.0,6.938893903907228e-18,1.0000000000000002,1.98423972699261e-16,0.11994113318616632,3.2381504884900395e-17,0.2853393325834271
frozenset({'家居'}),frozenset({'云闪付'}),0.42782152230971127,0.14285714285714285,0.06111736032995876,0.14285714285714288,0.33391761612620513,1.0,6.938893903907228e-18,1.0000000000000002,1.98423972699261e-16,0.11994113318616632,3.2381504884900395e-17,0.2853393325834271
frozenset({'服装'}),frozenset({'云闪付'}),0.42782152230971127,0.14285714285714285,0.06111736032995876,0.14285714285714288,0.33391761612620513,1.0,6.938893903907228e-18,1.0000000000000002,1.98423972699261e-16,0.11994113318616632,3.2381504884900395e-17,0.2853393325834271
frozenset({'母婴'}),frozenset({'云闪付'}),0.42782152230971127,0.14285714285714285,0.06111736032995876,0.14285714285714288,0.33391761612620513,1.0,6.938893903907228e-18,1.0000000000000002,1.98423972699261e-16,0.11994113318616632,3.2381504884900395e-17,0.2853393325834271
frozenset({'汽车用品'}),frozenset({'云闪付'}),0.42782152230971127,0.14285714285714285,0.06111736032995876,0.14285714285714288,0.33391761612620513,1.0,6.938893903907228e-18,1.0000000000000002,1.98423972699261e-16,0.11994113318616632,3.2381504884900395e-17,0.2853393325834271
frozenset({'玩具'}),frozenset({'云闪付'}),0.42782152230971127,0.14285714285714285,0.06111736032995876,0.14285714285714288,0.33391761612620513,1.0,6.938893903907228e-18,1.0000000000000002,1.98423972699261e-16,0.11994113318616632,3.2381504884900395e-17,0.2853393325834271
frozenset({'电子产品'}),frozenset({'云闪付'}),0.42782152230971127,0.14285714285714285,0.06111736032995876,0.14285714285714288,0.33391761612620513,1.0,6.938893903907228e-18,1.0000000000000002,1.98423972699261e-16,0.11994113318616632,3.2381504884900395e-17,0.2853393325834271
frozenset({'运动户外'}),frozenset({'云闪付'}),0.42782152230971127,0.14285714285714285,0.06111736032995876,0.14285714285714288,0.33391761612620513,1.0,6.938893903907228e-18,1.0000000000000002,1.98423972699261e-16,0.11994113318616632,3.2381504884900395e-17,0.2853393325834271
frozenset({'食品'}),frozenset({'云闪付'}),0.42782152230971127,0.14285714285714285,0.06111736032995876,0.14285714285714288,0.33391761612620513,1.0,6.938893903907228e-18,1.0000000000000002,1.98423972699261e-16,0.11994113318616632,3.2381504884900395e-17,0.2853393325834271
frozenset({'办公'}),frozenset({'信用卡'}),0.42782152230971127,0.14285714285714285,0.06111736032995876,0.14285714285714288,0.33391761612620513,1.0,6.938893903907228e-18,1.0000000000000002,1.98423972699261e-16,0.11994113318616632,3.2381504884900395e-17,0.2853393325834271
frozenset({'家居'}),frozenset({'信用卡'}),0.42782152230971127,0.14285714285714285,0.06111736032995876,0.14285714285714288,0.33391761612620513,1.0,6.938893903907228e-18,1.0000000000000002,1.98423972699261e-16,0.11994113318616632,3.2381504884900395e-17,0.2853393325834271
frozenset({'服装'}),frozenset({'信用卡'}),0.42782152230971127,0.14285714285714285,0.06111736032995876,0.14285714285714288,0.33391761612620513,1.0,6.938893903907228e-18,1.0000000000000002,1.98423972699261e-16,0.11994113318616632,3.2381504884900395e-17,0.2853393325834271
frozenset({'母婴'}),frozenset({'信用卡'}),0.42782152230971127,0.14285714285714285,0.06111736032995876,0.14285714285714288,0.33391761612620513,1.0,6.938893903907228e-18,1.0000000000000002,1.98423972699261e-16,0.11994113318616632,3.2381504884900395e-17,0.2853393325834271
frozenset({'汽车用品'}),frozenset({'信用卡'}),0.42782152230971127,0.14285714285714285,0.06111736032995876,0.14285714285714288,0.33391761612620513,1.0,6.938893903907228e-18,1.0000000000000002,1.98423972699261e-16,0.11994113318616632,3.2381504884900395e-17,0.2853393325834271
frozenset({'玩具'}),frozenset({'信用卡'}),0.42782152230971127,0.14285714285714285,0.06111736032995876,0.14285714285714288,0.33391761612620513,1.0,6.938893903907228e-18,1.0000000000000002,1.98423972699261e-16,0.11994113318616632,3.2381504884900395e-17,0.2853393325834271
frozenset({'电子产品'}),frozenset({'信用卡'}),0.42782152230971127,0.14285714285714285,0.06111736032995876,0.14285714285714288,0.33391761612620513,1.0,6.938893903907228e-18,1.0000000000000002,1.98423972699261e-16,0.11994113318616632,3.2381504884900395e-17,0.2853393325834271
frozenset({'运动户外'}),frozenset({'信用卡'}),0.42782152230971127,0.14285714285714285,0.06111736032995876,0.14285714285714288,0.33391761612620513,1.0,6.938893903907228e-18,1.0000000000000002,1.98423972699261e-16,0.11994113318616632,3.2381504884900395e-17,0.2853393325834271
frozenset({'食品'}),frozenset({'信用卡'}),0.42782152230971127,0.14285714285714285,0.06111736032995876,0.14285714285714288,0.33391761612620513,1.0,6.938893903907228e-18,1.0000000000000002,1.98423972699261e-16,0.11994113318616632,3.2381504884900395e-17,0.2853393325834271
frozenset({'办公'}),frozenset({'储蓄卡'}),0.42782152230971127,0.14285714285714285,0.06111736032995876,0.14285714285714288,0.33391761612620513,1.0,6.938893903907228e-18,1.0000000000000002,1.98423972699261e-16,0.11994113318616632,3.2381504884900395e-17,0.2853393325834271
frozenset({'家居'}),frozenset({'储蓄卡'}),0.42782152230971127,0.14285714285714285,0.06111736032995876,0.14285714285714288,0.33391761612620513,1.0,6.938893903907228e-18,1.0000000000000002,1.98423972699261e-16,0.11994113318616632,3.2381504884900395e-17,0.2853393325834271
